# mntjulip DSA
GeneName	GroupID	FeatureID	FeatureType	FeatureLabel	strand	p-value	q-value	log2FoldChange	ReadCount1	ReadCount2	PSI	avg_read_counts(0)	avg_read_counts(1)
PLEKHN1	J000001	J000001	intron	chr1:966614-966704	+	1	1	-0.207718	7.657344,3.157761,6.81933,3.157761,8.704681,2.124015,10.833921,6.211789,6.211789,10.833921	.	.	5.899375	7.243087
PLEKHN1	J000002	J000002	intron	chr1:966803-970277	+	1	1	0.791622	8.982423,7.326133,7.326133,8.982423,17.167148,3.242461,15.806544,15.071669,16.521278,19.834097	.	.	9.956852	14.09521
PLEKHN1	J000003	J000003	intron	chr1:970423-970521	+	1	1	0.312218	15.095166,9.453291,10.318953,15.095166,21.947215,10.873651,19.967982,21.920555,22.541419,19.28399	.	.	14.381958	18.917519
PLEKHN1	J000004	J000004	intron	chr1:970601-970686	+	1	1	1.09869	14.20049,9.56124,7.859998,10.335712,17.674694,11.886306,24.522054,21.473607,22.733723,15.724998	.	.	11.926427	19.268138
PLEKHN1	J000005	J000005	intron	chr1:970758-970879	+	1	1	0.702052	8.412744,4.318091,5.253573,6.126333,13.306399,8.297106,10.285324,14.077973,15.436389,7.660672	.	.	7.483428	11.151493
PLEKHN1	J000006	J000006	intron	chr1:971006-971077	+	1	1	1.65311	3.085863,3.085863,3.085863,5.706762,9.324193,5.183985,9.895498,10.696503,8.213492,10.696503	.	.	4.857709	8.937196
PLEKHN1	J000007	J000007	intron	chr1:971006-971113	+	1	1	0.957356	8.565337,6.025836,5.119388,3.200004,11.937681,6.314284,10.380923,13.53977,14.985757,12.009077	.	.	6.969649	11.445962
PLEKHN1	J000008	J000008	intron	chr1:971208-971324	+	1	1	1.88205	6.20864,7.695851,5.359325,5.359325,14.23567,6.637781,22.191683,22.191683,20.229597,24.021762	.	.	7.771762	19.054501
PLEKHN1	J000009	J000009	intron	chr1:971404-972075	+	1	1	0.682557	8.593965,9.436909,11.003286,11.732659,19.49431,9.792435,18.228974,21.54257,18.228974,21.54257	.	.	12.052226	17.867105
PLEKHN1	J000010	J000010	intron	chr1:972150-972288	+	0.855875	1	1.24143	8.276153,10.771837,9.135771,9.135771,16.268527,6.812441,15.70484,22.936988,20.837138,21.917182	.	.	10.717612	17.641718
PLEKHN1	J000011	J000011	intron	chr1:972424-972861	+	0.984905	1	0.676424	10.596254,16.641084,13.032097,10.596254,17.004596,10.984709,22.337557,18.972401,21.042446,26.443345	.	.	13.574057	19.956092
PLEKHN1	J000012	J000012	intron	chr1:973010-973186	+	0.47481	1	0.769851	6.572855,11.7215,10.933404,10.933404,17.297121,13.952175,25.74989,17.370366,19.551677,23.435692	.	.	11.491657	20.01196
PLEKHN1	J000013	J000013	intron	chr1:973326-973500	+	0.965369	1	0.613076	11.489169,8.699387,6.959926,10.860706,18.690533,13.745935,17.581891,16.844199,21.617769,22.839366	.	.	11.339944	18.525832
PLEKHN1	J000014	J000014	intron	chr1:973640-973833	+	0.0257706	0.129911	0.869666	12.196459,10.667548,4.447217,8.189809,10.882356,16.533879,19.23472,20.583821,19.917941,20.583821	.	.	9.276678	19.370836
PLEKHN1	J000015	J000015	intron	chr1:974051-974316	+	0.980758	1	0.606477	6.699423,13.437173,12.686752,11.11716,16.862025,8.68056,15.16516,19.519832,20.179815,22.669954	.	.	12.160507	17.243064
PLEKHN1	J000016	J000016	intron	chr1:974364-974442	+	0.912206	1	0.504187	5.807611,17.106105,9.586444,13.616906,17.790673,14.658912,15.393016,22.3439,21.092176,19.779747	.	.	12.781548	18.65355
AGRN	J000017	J000017	intron	chr1:1020373-1022201	+	1	1	0.0326375	982.419632,982.503871,982.690971,982.86859,982.35755,1006.996181,1006.943898,1007.064448,1006.751798,1007.180481	.	.	982.568123	1006.987361
