group_id	chrom	loc	strand	gene_name	structure	llr	p_value	q_value
g000001	chr1	3207317	-	Xkr4	i	0.384683	0.680667	1
g000002	chr1	3421702	-	Xkr4	o	0.844706	0.429684	0.984045
g000003	chr1	4923989	-	Rgs20	i	4.02068	0.0179408	0.194593
g000004	chr1	8803970	-	Sntg1	i	1.08869	0.336659	0.880653
g000005	chr1	9942323	-	Snhg6	o	0.000226816	0.999773	1
g000006	chr1	10035163	-	Cops5	i	0.500724	0.606092	1
g000007	chr1	13162288	-	Ncoa2	i	3.35177	0.0350222	0.274966
g000008	chr1	13166896	-	Ncoa2	o	3.85964	0.0210756	0.21154
g000009	chr1	13579566	-	Tram1	i	1.89814	0.149847	0.603932
g000010	chr1	13581023	-	Tram1	o	0.875691	0.416574	0.971144
g000011	chr1	14274065	-	Eya1	o	0.387392	0.678825	1
g000012	chr1	14274534	-	Eya1	o	2.16625	0.227726	0.742656
g000013	chr1	16229866	-	Stau2	i	0.032629	0.967898	1
g000014	chr1	16345704	-	Stau2	o	1.95667	0.270976	0.799228
g000015	chr1	16369755	-	Stau2	o	0.337162	0.713793	1
g000016	chr1	16394210	-	Stau2	i	0.801113	0.448829	1
g000017	chr1	16509342	-	Stau2	o	4.00063	0.0915322	0.467874
g000018	chr1	16463035	-	Stau2	o	1.46779	0.230435	0.745079
g000019	chr1	16463194	-	Stau2	i	1.65598	0.190906	0.680774
g000020	chr1	16509408	-	Stau2	i	1.48236	0.227101	0.742245
g000021	chr1	16597951	-	Ube2w	o	1.28976	0.275338	0.806019
g000022	chr1	16602353	-	Ube2w	i	0.78487	0.456179	1
g000023	chr1	16648007	-	Eloc	i	2.267	0.338536	0.882979
g000024	chr1	16656822	-	Eloc	o	0.599978	0.548824	1
g000025	chr1	16997464	-	Jph1	o	2.9307	0.0533599	0.346438
g000026	chr1	22296996	-	Rims1	i	1.2419	0.288835	0.821638
g000027	chr1	22397451	-	Rims1	o	3.65622	0.02583	0.234072
g000028	chr1	22373344	-	Rims1	o	0.158593	0.853344	1
g000029	chr1	22397563	-	Rims1	i	3.96144	0.0944441	0.475202
g000030	chr1	22404444	-	Rims1	o	0.112702	0.893417	1
g000031	chr1	22421741	-	Rims1	o	0.0398725	0.960912	1
g000032	chr1	22427462	-	Rims1	o	3.77824	0.022863	0.219272
g000033	chr1	22726930	-	Rims1	o	0.788087	0.664804	1
g000034	chr1	22596584	-	Rims1	i	0.0902313	0.98068	1
