cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_1091_NA	Success	0.0360679237046497	1	0.78825200056201	0.927378038599563	Mrpl15
chr1:clu_1092_NA	Success	5.51712825510037	3	0.0115420725409275	0.124244961319713	Mrpl15
chr1:clu_1093_NA	Success	0.894497353965107	2	0.408813035256757	0.728913905103645	Lypla1,RP24-426M1.3
chr1:clu_1094_NA	Success	0.145412776386166	1	0.589691981771123	0.83697937495699	Rgs20
chr1:clu_1095_NA	Success	3.19511141111957	1	0.011475062324389	0.124244961319713	Rgs20
chr1:clu_1096_NA	Success	3.55291444159639	1	0.00768336874539137	0.0952978636326482	Atp6v1h
chr1:clu_1097_NA	Success	1.60929320969444	2	0.200028942641921	0.550347807196883	Atp6v1h
chr1:clu_1098_NA	Success	6.45574916013629	2	0.00157146156407929	0.0333526201157396	Atp6v1h
chr1:clu_1099_NA	Success	0.829997125676641	2	0.436050539669986	0.748807287293556	Rb1cc1
chr1:clu_1100_NA	Success	5.60633506563704	6	0.0820218277513782	0.36804950105422	St18
chr1:clu_1101_NA	Success	0.136091450122422	2	0.872762814572858	0.956916650106979	Pcmtd1
chr1:clu_1102_NA	Success	0.777855126845168	2	0.459390289251212	0.763871314317185	Pcmtd1
chr1:clu_1103_NA	Success	0.494676772976163	2	0.6097679689326	0.846657894433681	Pcmtd1
chr1:clu_1104_NA	Success	0.825354669179134	1	0.198862413848328	0.548456199149423	Sntg1
chr1:clu_1105_NA	Success	0.0999339752572155	1	0.654827453669683	0.867955214735183	Sntg1
chr1:clu_1106_NA	Success	0.746335619857462	1	0.221802464042161	0.576220372729882	Sntg1
chr1:clu_1107_NA	Success	0.0179306079262744	1	0.849802382503498	0.950873991197258	Adhfe1
chr1:clu_1108_NA	Success	1.43562720826799	2	0.237966062915978	0.590239643720566	Adhfe1
chr1:clu_1109_NA	Success	0.0732036704079064	1	0.701992549593068	0.889927147830658	Snhg6
chr1:clu_1110_NA	Success	0.512739699981921	2	0.598852652675848	0.840990488276618	Cops5
chr1:clu_1111_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Cspp1
chr1:clu_1112_NA	Success	0.50554504417363	2	0.603176727855768	0.843399770412561	Cspp1
chr1:clu_1113_NA	Not enough valid samples	NA	NA	NA	NA	Cspp1
chr1:clu_1114_NA	Success	9.51985470658065	2	7.33803252543783e-05	0.0041256877285152	Arfgef1
chr1:clu_1115_NA	Success	1.13377977258494	1	0.132107788401437	0.461294408680427	Arfgef1
chr1:clu_1116_NA	Success	0.123481333040331	1	0.619221924436667	0.853352178928901	Prex2
chr1:clu_1117_NA	Success	0.0505739037425883	2	0.95068366699505	0.982896695196226	AC103635.1
chr1:clu_1118_NA	Success	0.0845929738741233	1	0.680836297227553	0.88084836211802	AC103635.1
chr1:clu_1119_NA	Success	0.219987469850878	1	0.507134551145464	0.795774833578938	AC103635.1
chr1:clu_1120_NA	Success	7.97402369846429	3	0.00116213698647121	0.0276219512063415	Sulf1
chr1:clu_1121_NA	Success	1.27988537453712	2	0.278069172434093	0.630444673651473	Sulf1
chr1:clu_1122_NA	Success	2.95982587547269	2	0.0518279409027879	0.293179912872161	Ncoa2
chr1:clu_1123_NA	Not enough valid samples	NA	NA	NA	NA	Ncoa2
chr1:clu_1124_NA	Success	2.71685267087105	2	0.0660824105695712	0.330694573469703	Tram1
chr1:clu_1125_NA	Success	1.45271579805603	2	0.233934106822336	0.586912169517414	Tram1
chr1:clu_1126_NA	Success	0.661716768737335	1	0.24997676652721	0.603080519724544	Eya1
chr1:clu_1127_NA	Success	2.06984575011143	2	0.126205247349054	0.450773724488271	Eya1
chr1:clu_1128_NA	Success	1.20741818892691	2	0.298968163177774	0.645216381763769	Eya1
chr1:clu_1129_NA	Success	3.36865631157139	2	0.034435877360366	0.236522405913847	Terf1
chr1:clu_1130_NA	Success	1.38823092769354	1	0.0956592822151552	0.394167488770483	Stau2
chr1:clu_1131_NA	Success	7.6559083092643	6	0.0179653066494561	0.162426729236684	Stau2
chr1:clu_1132_NA	Success	2.39836255549324	2	0.0908666205876991	0.383675428205847	Stau2
chr1:clu_1133_NA	Success	5.64858560431094	7	0.126171590161435	0.450773724488271	Ube2w
chr1:clu_1134_NA	Success	0.737361847837121	1	0.224601877278447	0.577742337858194	Ube2w
chr1:clu_1135_NA	Success	0.601853763172414	1	0.272581920473951	0.625853513924022	Eloc
chr1:clu_1136_NA	Success	2.07698978757799	4	0.385567883189686	0.714258216124597	Eloc
chr1:clu_1137_NA	Success	0.103523549584054	1	0.649091768321249	0.866319097532066	Tmem70
chr1:clu_1138_NA	Not enough valid samples	NA	NA	NA	NA	Jph1
chr1:clu_1139_NA	Not enough valid samples	NA	NA	NA	NA	Crispld1
chr1:clu_1140_NA	Success	2.05163055638894	1	0.0428005831121171	0.264353548777589	Paqr8
chr1:clu_1141_NA	Success	0.0696425051026779	1	0.708992845916807	0.892668496234461	Tmem14a
chr1:clu_1142_NA	Success	2.26715044762886	2	0.103606993394319	0.409109111884306	Tmem14a,Gsta3
chr1:clu_1143_NA	Success	0.0832364533190457	1	0.683265661632863	0.882055207961851	Rims1
chr1:clu_1144_NA	Success	0.717218762081131	1	0.231041595269065	0.585319466880185	Rims1
chr1:clu_1145_NA	Success	5.67100025866603	10	0.33150103446963	0.669880375869369	Rims1
chr1:clu_1146_NA	Success	2.96323235286931	1	0.0149151351339225	0.145550693165925	Rims1
chr1:clu_1147_NA	Success	0.0413754827578714	1	0.773603432409911	0.922661131684331	Rims1
chr1:clu_1148_NA	Success	0.864331902954461	1	0.188581631866436	0.537639679421531	Rims1
chr1:clu_1149_NA	Success	0.217532788342652	1	0.509513757594984	0.796880276103539	Ogfrl1
chr1:clu_1150_NA	Success	1.4496229445117	1	0.0886210030486359	0.380452027041353	Ogfrl1
chr1:clu_1151_NA	Success	3.97669445997235	2	0.0187475076642866	0.166449719235462	Smap1
chr1:clu_1152_NA	Success	6.50610083558308	3	0.00461029278768799	0.0683465377411648	Fam135a
chr1:clu_1153_NA	Success	0.963509147177433	2	0.381551613223161	0.711002892441219	Fam135a
chr1:clu_1154_NA	Not enough valid samples	NA	NA	NA	NA	Fam135a
chr1:clu_1155_NA	Success	1.1425846045571	1	0.130615896187832	0.459270370214738	Lmbrd1
chr1:clu_1156_NA	Success	0.140429963374459	1	0.596138143501678	0.839852542151828	Lmbrd1
chr1:clu_1157_NA	Success	0.829512430338582	3	0.646081591907585	0.864773379089838	Adgrb3
chr1:clu_1158_NA	Success	0.394376566824576	2	0.674100164681415	0.877820963991769	Adgrb3
chr1:clu_1159_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Adgrb3
chr1:clu_1160_NA	Success	6.86623283841709	9	0.132165261818391	0.461349650141978	Phf3
chr1:clu_1161_NA	Success	0.0549556439464851	1	0.740245155869178	0.908395755015121	Khdrbs2
chr1:clu_1162_NA	Success	0.766893886229809	1	0.215544856605801	0.568828885338539	Rab23
chr1:clu_1163_NA	Success	0.67001955507294	2	0.511698571385818	0.797616655009159	Bag2
chr1:clu_1164_NA	Success	0.567949006109444	2	0.566686518195726	0.82620227409005	Zfp451
chr1:clu_1165_NA	Success	4.36744247495761	1	0.00312179012831695	0.0525485523727029	Zfp451
chr1:clu_1166_NA	Success	0.000466757974010079	1	0.975625631849401	0.993292535928299	Bend6
chr1:clu_1167_NA	Success	0.112044996411441	1	0.635941065051914	0.861654086894518	Bend6
chr1:clu_1168_NA	Not enough valid samples	NA	NA	NA	NA	Dst
chr1:clu_1169_NA	Not enough valid samples	NA	NA	NA	NA	Dst
chr1:clu_1170_NA	Success	1.42865765538286	1	0.0909591942517443	0.383675428205847	Dst
chr1:clu_1171_NA	Success	2.57757562194638	1	0.0231775169562615	0.18848324361788	Dst
chr1:clu_1172_NA	Success	2.73226083162217	2	0.0650720063897517	0.328007742040231	Dst
chr1:clu_1173_NA	Success	0.82869689228437	2	0.436617875897208	0.749067471102459	Dst
chr1:clu_1174_NA	Success	0.0734330836126276	1	0.701548332327711	0.889927147830658	Imp4
chr1:clu_1175_NA	Success	0.34604997221885	1	0.405451028930476	0.727027047751918	Amer3
chr1:clu_1176_NA	Success	0.846492149233427	2	0.428916872496943	0.74369718499786	Arhgef4
chr1:clu_1177_NA	Success	6.3045264182399	1	0.00038388297941764	0.0133358530075866	Arhgef4
chr1:clu_1178_NA	Success	0.00171082293763902	2	0.998290639685708	0.999973435974065	Arhgef4
chr1:clu_1179_NA	Success	1.52562016954471	3	0.383792198016329	0.712398589781945	Fam168b
chr1:clu_1180_NA	Success	1.06847350627038	1	0.143787794997338	0.478507680531138	Arhgef4
chr1:clu_1181_NA	Success	0.356793391305018	2	0.699917091753828	0.889927147830658	Arhgef4
chr1:clu_1182_NA	Success	0.0780093438456788	2	0.924955783859057	0.97254701557081	Arhgef4
chr1:clu_1183_NA	Success	3.15523448829799	1	0.0120027086218558	0.126611429233976	Fam168b
chr1:clu_1184_NA	Success	3.11855082449983	2	0.044221206296177	0.268380318321346	Plekhb2
chr1:clu_1185_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Arid5a
chr1:clu_1186_NA	Success	0.554128249962901	2	0.574572926907401	0.829893036260161	Arid5a
chr1:clu_1187_NA	Success	4.2419698892927	2	0.01437923841793	0.142264808978795	Kansl3
chr1:clu_1188_NA	Success	0.0323539413331559	1	0.799203977089729	0.931983917692761	Kansl3
chr1:clu_1189_NA	Success	0.264144816875159	3	0.912633767969248	0.968575912154532	Kansl3
chr1:clu_1190_NA	Success	0.0850854612360763	1	0.67995994814552	0.880537400404511	Lman2l
chr1:clu_1191_NA	Success	5.68018801512153	4	0.0227989252567915	0.186087616908049	Lman2l
chr1:clu_1192_NA	Success	0.356485319749368	1	0.398459392050706	0.722195422411	Lman2l
chr1:clu_1193_NA	Success	1.04129108028059	1	0.148987955826515	0.486964659437115	Cnnm3
chr1:clu_1194_NA	Success	11.1050831709017	2	1.50357002056073e-05	0.00132170964664529	Cnnm3
chr1:clu_1195_NA	Not enough valid samples	NA	NA	NA	NA	Ankrd39
chr1:clu_1196_NA	Not enough valid samples	NA	NA	NA	NA	Ankrd39
chr1:clu_1197_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Sema4c
chr1:clu_1198_NA	Success	0.699691633591669	1	0.236826859090406	0.590239643720566	Cox5b
chr1:clu_1199_NA	Success	0.181990476151611	1	0.546303586258869	0.818125814143218	Cox5b
chr1:clu_1200_NA	Success	0.0249876923267038	1	0.823106111817736	0.941615708995377	Actr1b
chr1:clu_1201_NA	Success	0.241089354174846	2	0.785771411295312	0.926661430100817	Actr1b
chr1:clu_1202_NA	Success	0.0798687188426754	1	0.689398366561442	0.8854161642913	Actr1b
chr1:clu_1203_NA	Success	0.345701064117463	1	0.405687874027771	0.727204870162096	Actr1b
chr1:clu_1204_NA	Success	0.45191800435714	1	0.341755214403963	0.67769718353652	Tmem131
chr1:clu_1205_NA	Success	0.335974717756926	1	0.412372769674529	0.731064381219507	Tmem131
chr1:clu_1206_NA	Success	0.214030926296289	2	0.807323417113402	0.936325382839406	Vwa3b
chr1:clu_1207_NA	Success	1.64307052821869	2	0.193385334597802	0.54475157562321	Inpp4a
chr1:clu_1208_NA	Success	1.43610371623345	3	0.411750807688589	0.730528038764471	Inpp4a
chr1:clu_1209_NA	Success	1.91678196040289	1	0.0502360083320187	0.288495369235407	Inpp4a
chr1:clu_1210_NA	Success	0.261856808375086	1	0.469261843489348	0.771541809032397	Coa5
chr1:clu_1211_NA	Success	1.04735578002874	2	0.350864285939792	0.68654003947232	Unc50
chr1:clu_1212_NA	Success	0.120663650757876	1	0.623249107037519	0.855032774191672	Mgat4a
chr1:clu_1213_NA	Success	1.25628250346062	1	0.112941967708443	0.426071265101742	Mgat4a
chr1:clu_1214_NA	Success	1.65494910698635	1	0.0688637573008415	0.336451246521447	AC140321.1
chr1:clu_1215_NA	Success	1.69677709375492	1	0.0654517208229105	0.328916947868286	AC140321.1
chr1:clu_1216_NA	Success	1.93012304109743	7	0.795726359904016	0.930573874173464	AC140321.1
chr1:clu_1217_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Tsga10
chr1:clu_1218_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Lipt1
chr1:clu_1219_NA	Success	3.24424451658797	3	0.0901175751428224	0.382760115981018	Mrpl30
chr1:clu_1220_NA	Success	0.271157352202863	2	0.762496506460005	0.918179093884651	Mrpl30
chr1:clu_1221_NA	Success	1.28661972643431	2	0.276202848071046	0.628774174349962	Txndc9
chr1:clu_1222_NA	Success	0.017789709085605	1	0.850386680134875	0.950922046357786	Eif5b
chr1:clu_1223_NA	Not enough valid samples	NA	NA	NA	NA	Rev1
chr1:clu_1224_NA	Success	2.50101677659842	4	0.287088903558985	0.636082330113724	Rev1
chr1:clu_1225_NA	Success	0.146462338273068	1	0.588352395890121	0.836532880215531	Aff3
chr1:clu_1226_NA	Success	2.63708779161857	1	0.0216440350012946	0.180940373635116	Aff3
chr1:clu_1227_NA	Success	1.80666251906496	2	0.164201241832687	0.506629235858423	Aff3
chr1:clu_1228_NA	Success	2.2650042278508	2	0.103829595563831	0.409451055196519	Aff3
chr1:clu_1229_NA	Success	0.472685444475673	1	0.330900403394265	0.669538339056426	Chst10
chr1:clu_1230_NA	Success	0.0657968336940087	1	0.716785359078332	0.896996840296563	Chst10
chr1:clu_1231_NA	Not enough valid samples	NA	NA	NA	NA	Npas2
chr1:clu_1232_NA	Success	0.0079981867931167	1	0.899354535483576	0.963641772690084	Rpl31
chr1:clu_1233_NA	Success	3.08043968320158	2	0.0459390535777397	0.274001592583223	Rnf149
chr1:clu_1234_NA	Success	5.81987104570271	7	0.113046071781418	0.426318791641466	Map4k4
