group_id	chrom	start	end	strand	gene_name	psi(control)	psi(epileptic)	delta_psi
g000001	chr1	3207317	3213439	-	Xkr4	0.97049	0.978855	0.00836491
g000001	chr1	3207317	3213609	-	Xkr4	0.0295099	0.021145	-0.00836491
g000002	chr1	3216968	3421702	-	Xkr4	0.830012	0.771539	-0.0584736
g000002	chr1	3323760	3421702	-	Xkr4	0.169988	0.228461	0.0584736
g000003	chr1	4923989	5019311	-	Rgs20	0.761211	0.630638	-0.130573
g000003	chr1	4923989	5020738	-	Rgs20	0.238789	0.369362	0.130573
g000004	chr1	8803970	8996547	-	Sntg1	0.0431972	0.0719765	0.0287793
g000004	chr1	8803970	8999186	-	Sntg1	0.956803	0.928023	-0.0287793
g000005	chr1	9942149	9942323	-	Snhg6	0.167622	0.167223	-0.000398792
g000005	chr1	9942155	9942323	-	Snhg6	0.832378	0.832777	0.000398792
g000006	chr1	10035163	10037662	-	Cops5	0.0536821	0.0470323	-0.00664975
g000006	chr1	10035163	10037670	-	Cops5	0.946318	0.952968	0.00664975
g000007	chr1	13162288	13164896	-	Ncoa2	0.869315	0.804778	-0.064537
g000007	chr1	13162288	13166896	-	Ncoa2	0.130685	0.195222	0.064537
g000008	chr1	13162288	13166896	-	Ncoa2	0.12812	0.194451	0.0663315
g000008	chr1	13165102	13166896	-	Ncoa2	0.87188	0.805549	-0.0663315
g000009	chr1	13579566	13579690	-	Tram1	0.842436	0.796774	-0.045662
g000009	chr1	13579566	13581023	-	Tram1	0.157564	0.203226	0.045662
g000010	chr1	13579566	13581023	-	Tram1	0.175595	0.208249	0.0326543
g000010	chr1	13579811	13581023	-	Tram1	0.824405	0.791751	-0.0326543
g000011	chr1	14270827	14274065	-	Eya1	0.237437	0.281777	0.0443398
g000011	chr1	14270842	14274065	-	Eya1	0.762563	0.718223	-0.0443398
g000012	chr1	14274143	14274534	-	Eya1	0.311213	0.232724	-0.0784892
g000012	chr1	14274207	14274534	-	Eya1	0.377585	0.443632	0.0660476
g000012	chr1	14274210	14274534	-	Eya1	0.311202	0.323644	0.0124416
g000013	chr1	16229866	16231003	-	Stau2	0.946216	0.948755	0.00253932
g000013	chr1	16229866	16345704	-	Stau2	0.0537843	0.051245	-0.00253932
